individual_id,age,gender,education_level,vocational_training_completed,employment_status,years_in_camp,ngo_livelihood_program_participation,access_to_microfinance,access_to_savings_group,owns_business,number_of_dependents,digital_skills_level,movement_restriction_perceived,access_to_market_opportunities,primary_employment_barrier,job_search_duration_months,monthly_income_kes,financial_stability_score
1,24,Female,Unknown,No,Employed,16,Yes,No,Yes,Yes,0,High,Moderate,Fair,Discrimination,10,15150.0,99.0
2,32,Female,University,No,Unemployed,13,No,No,Yes,No,5,Low,Moderate,Good,Movement Restriction,12,10043.0,76.0
3,28,Male,Secondary,Yes,Employed,4,No,Yes,No,No,5,Medium,High,Poor,Low Market Demand,12,18901.0,100.0
4,25,Female,College,No,Employed,6,Yes,No,Yes,Yes,2,High,Moderate,Poor,Limited Education,12,11123.0,64.0
5,24,Male,Unknown,Yes,Unemployed,15,Yes,No,No,No,4,Low,Low,Good,No Work Permit,12,8448.0,63.0
6,28,Female,Secondary,Yes,Employed,11,Yes,No,No,No,4,Low,Moderate,Good,Limited Education,12,7442.0,52.0
7,28,Male,University,Yes,Unemployed,17,Yes,No,No,Yes,2,Medium,Moderate,Poor,Limited Education,3,11173.0,87.0
8,21,Other,Unknown,No,Unemployed,14,No,Yes,Yes,No,1,Medium,High,Good,Movement Restriction,4,767.0,24.0
9,25,Female,College,Yes,Unemployed,1,Yes,Yes,No,No,2,Low,High,Poor,Lack of Capital,11,11814.0,81.0
10,20,Female,College,No,Unemployed,2,No,Yes,No,No,2,Medium,Low,Fair,Limited Education,4,7354.0,61.0
11,19,Male,Secondary,No,Unemployed,6,No,No,No,Yes,4,Low,High,Poor,Limited Education,8,2705.0,40.0
12,29,Female,Secondary,No,Unemployed,5,No,No,No,No,0,Medium,Low,Good,No Work Permit,12,5630.0,60.0
13,23,Female,Primary,No,Unemployed,2,No,Yes,No,Yes,3,High,High,Fair,Movement Restriction,12,8185.0,67.0
14,19,Female,Unknown,Yes,Unemployed,4,Yes,No,No,No,2,Medium,High,Fair,Lack of Capital,12,2612.0,35.0
15,18,Male,Primary,Yes,Unemployed,13,No,Yes,No,No,5,Medium,High,Fair,No Work Permit,12,1867.0,43.0
16,29,Male,University,Yes,Employed,4,No,Yes,Yes,No,3,Low,Moderate,Fair,Low Market Demand,4,13891.0,75.0
17,29,Male,Primary,Yes,Unemployed,19,No,Yes,Yes,No,4,Low,Low,Poor,Discrimination,12,6635.0,60.0
